Name,Country
Dead Prez,US
Allan Kingdom,US
EarthGang,US
PNB Rock,US
Rap Monster,KR
Less du neuf,FR
Radmo,FR
Gaël Faye,FR
K-Rino,US
Swift Gad,FR
Brulux,FR
Massive Töne,DE
Nesbeal,FR
Sofiane,FR
Sinik,FR
Hamza,BE
Robb Bank$,US
Poison Clan,US
Proof,US
T-Pain,US
Slim Thug,US
2 Live Crew,US
El-P,US
Migos,US
Nate Dogg,US
Chuck D,US
Drake,CA
Juicy P,FR
Playa Fly,US
Redman,US
Chief Keef,US
Trae Tha Truth,US
13 Block,FR
Jay Rock,US
Droogz Brigade,FR
Jeff le Nerf,FR
Bitsu,FR
The Opposites,NL
Stormzy,GB
Hornet La Frappe,FR
Nemir,FR
Les Sages Poètes de la Rue,FR
GLC,US
Chino XL,US
Dj Jazzy Jeff,US
Tech N9ne,US
Scred Connexion,FR
IshDARR,US
J Dilla,US
Pusha T,US
Lauryn Hill,US
Afrika Bambaataa,US
U-God,US
Shurik'n,FR
Booba,FR
DJ Quik,US
Dr. Dre,US
Gucci Mane,US
Future,US
Little Simz,GB
Guizmo,FR
Black Kray,US
Morlockk Dilemma,DE
B.G.,US
Aesop Rock,US
Triptik,FR
Yung Lean,SE
Grems,FR
Trina,US
Foxy Brown,US
8Ball & MJG,US
Beyoncé,US
Wale,US
Public Enemy,US
Aelpéacha,FR
Kaaris,FR
Jay Z,US
The Notorious B.I.G.,US
Pee Froiss,SN
Rob Stone,US
Alaclair Ensemble,CA
Fiend,US
Themselves,US
Metro Boomin,US
Passi,FR
Luke,US
Démocrates D,FR
Krizz Kaliko,US
Jadakiss,US
Gunplay,US
Doc Gynéco,FR
N.W.A,US
Young Jeezy,US
Watsky,US
Philthy Rich,US
Taïpan,FR
The Doppelgangaz,US
Ixzo,FR
Melan,FR
Rocca,FR
Pit Baccardi,FR
The-Dream,US
Young Buck,US
French Montana,US
Mac Miller,US
Le Rat Luciano,FR
A$AP Rocky,US
Scarface,US
Nicki Minaj,US
DMX,US
UGK,US
Higher Brothers,CN
Pacewon,US
The Weeknd,CA
Marracash,IT
Kamelancien,FR
L'or du commun,BE
Sido,DE
Ol Kainry,FR
Loyle Carner,GB
Roots Manuva,GB
Nakk,FR
Diam's,FR
Mala,FR
Naughty by Nature,US
"Royce da 5'9""",US
EPMD,US
DJ Screw,US
Big K.R.I.T,US
Rim'K,FR
Coolio,US
Yo Gotti,US
Queen Latifah,US
Max B,US
Arabian Prince,US
2Pac,US
2 Chainz,US
New African Poets,FR
Craig Mack,US
Nyzzy Nyce,US
Joe Lucazz,FR
Convok,BE
Elams,FR
Davodka,FR
Noizy,GB
D double E,GB
A2h,FR
The Jacka,US
Dj Khaled,US
Kris Kross,US
Graig David,GB
Mos Def,US
Fonky Family,FR
The Dope Poet Society,CA
Q-Tip,US
Flavor Flav,US
Oxmo Puccino,FR
Outkast,US
San E,KR
Chilla,FR
Frank Ocean,US
Orishas,CU
Disiz La Peste,FR
Youssoupha,FR
Daddy Lord C,FR
Assassin,FR
Jimmy Spicer,US
NoClue,US
Vic Mensa,US
Kool Moe Dee,US
Veence Hanao,BE
Keith Murray,US
Curren$y,US
Rohff,FR
Busta Rhymes,US
MC Hammer,US
Salif,FR
Fredo Santana,US
Valete,PT
Logic,US
Sobre,FR
Main Attrakionz,US
Furax Barbossa,FR
Youssef Swatt's,BE
Rae Sremmurd,US
La caution,FR
Timbaland,US
Goodie Mob,US
Juvenile,US
Big Boi,US
Dosseh,FR
Vince Staples,US
Immortal Technique,US
Joey bada$$,US
Omnikrom,CA
Ol' Dirty Bastard,US
Rick Ross,US
Lil Wayne,US
Peewee Longway,US
Rejjie Snow,IE
S.Pri Noir,FR
Triplego,FR
Deen Burbigo,FR
Tortoz,FR
Mike Will Made It,US
Die Antwoord,ZA
Lord Infamous,US
Svinkels,FR
Raider Klan,US
Cypress Hill,US
La Fouine,FR
The Coup,US
Daara J,SN
9 Zéro,BE
Famous Dex,US
Yvon Krevé,CA
C. Tangana,ES
J.I.D.,US
Noir Fluo,FR
Butter Bullets,FR
Metek,FR
Ichon,FR
Travis Scott,US
Casey,FR
Bones,US
Fat Joe,US
Skinny Pimp,US
The Pharcyde,US
Kevin Gates,US
Wiz Khalifa,US
La Rumeur,FR
MHD,FR
Médine,FR
Nekfeu,FR
Earl Sweatshirt,US
Ice-T,US
Big Daddy Kane,US
Wu-Tang Clan,US
Inspectah Deck,US
GZA,US
Lil B,US
LIM,FR
Ali,FR
Ice Cube,US
Ludacris,US
T.I.,US
Jumo Barjo,BE
Prince Waly,FR
Devlin,GB
Azizi Gibson,US
Sinya,FR
Fayçal,FR
TRU,US
OG Maco,US
2 Bal 2 Neg,FR
Kalash Criminel,FR
Stomy Bugsy,FR
Driver,FR
Sniper,FR
Aaliyah,US
Twista,US
Soprano,FR
The St. Lunatics,US
Kendrick Lamar,US
Grandmaster Flash,US
Kodak Black,US
MC Solaar,FR
Lil' Flip,US
Ice Top,MN
Freddie Gibbs,US
Bejo,ES
Portavoz,CL
Tommy Cash,EE
Newham Generals,GB
James Deano,BE
Ghandi,BE
Freeze Corleone,FR
Coyote Jo Bastard,FR
Problem,US
Lil Yachty,US
Riff Raff,US
Danny Brown,US
The Roots,US
Dizzee Rascal,GB
Kanye West,US
Jean Grae,US
Run–D.M.C.,US
Meek Mill,US
Del the Funky Homosapien,US
Lil Bibby,US
Infinit,FR
Keith Ape,KR
Original Flow Mastaz,CH
Childish Gambino,US
Freeway,US
MoTrip,DE
7liwa,MA
Odezenne,FR
Bigflo & Oli,FR
Iceberg Black,US
Mia X,US
Da Guedes,BR
Romeo Elvis,BE
Sefyu,FR
Vald,FR
Lomepal,FR
Niska,FR
Cormega,US
Will Smith,US
Devin the Dude,US
Mannie Fresh,US
Kid Cudi,US
Xzibit,US
The Sugarhill Gang,US
DJ Kool Herc,US
Ghislain Poirier,CA
Gkr,IS
Russ,US
Mister you,FR
Turk,US
Fabolous,US
Skepta,GB
Arianna Puello,ES
Dany Dan,FR
Beanie Sigel,US
OJ Da Juiceman,US
Benny B,BE
Action Bronson,US
Schoolly D,US
J. Cole,US
YG,US
Chance the Rapper,US
50 Cent,US
Trick Daddy,US
E-40,US
Akhenaton,FR
Gangsta Boo,US
Lacrim,FR
Method Man,US
Positive Black Soul,SN
Ninho,FR
Yung Berg,US
Pouya,US
Eloquence,FR
Expression Direkt,FR
Krisy,BE
Z-Ro,US
Sole,US
Scylla,BE
Ab-Soul,US
Nacho Picasso,US
Rich Homie Quan,US
Big Pun,US
A$AP Ferg,US
Dej Loaf,US
Psy 4 de la rime,FR
Wiley,GB
The Game,US
Masta Killa,US
Zoxea,FR
Niro,FR
Birdman,US
Lil Durk,US
Enzo Dong,IT
Ksir Makoza,FR
Shing02,US
Mafia Trece,FR
Lasco,FR
Jazz Cartier,CA
Fresh Caen Camps,FR
Bisso na Bisso,FR
Busdriver,US
Caballero,BE
Soulja Boy,US
Das EFX,US
CNN199,BE
John Cruipy,BE
Demi Portion,FR
Alkpote,FR
Paul Wall,US
Big Moe,US
7ARI,MA
Sfera Ebbasta,IT
Kool Keith,US
Spoonie Gee,US
Alpha 5.20,FR
Jedi Mind Tricks,US
Warren G,US
Eminem,US
Professor Griff,US
Ghostface Killah,US
Raekwon,US
Pimp C,US
Too $hort,US
DJ Paul,US
Kool Shen,FR
Key!,US
D T F,FR
Machine Gun Kelly,US
$uicideboy$,US
Djadja & Dinaz,FR
Lil Shaolin,FR
Kalash,MQ
Lacraps,FR
Vin'S,FR
Lucio Bukowski,FR
Swagg man,FR
Miiiiz,CH
Sadek,FR
Cam'ron,US
Suprême NTM,FR
Big L,US
Ja Rule,US
Madlib,US
Chiens de paille,FR
Lil Uzi vert,US
Jul,FR
Slick Rick,US
Grandmaster Caz,US
Bun B,US
Lil Boosie,US
Joeystarr,FR
Yoon Mi Rae,US
Kaytranada,CA
Desiigner,US
Georgio,FR
Dinos Punchlinovic,FR
La Smala﻿,BE
Silkk the Shocker,US
Jawat!,NL
Joke,FR
Di-Meh,CH
Lady Sovereign,GB
Isha,BE
Alibi Montana,FR
Tandem,FR
C Murder,US
Mystikal,US
Big Sean,US
A Tribe Called Quest,US
Kurtis Blow,US
Seth Gueko,FR
Eazy-E,US
Killer Mike,US
Mike Jones,US
Lil' Keke,US
Dae Dae,US
Futur Krew,RE
Charisma.com,JP
Hocus Pocus,FR
Take A Mic,FR
Iamsu!,US
The Streets,GB
ATK,FR
Ace Hood,US
Kool G Rap,US
R. Kelly,US
IAM,FR
Mick Jenkins,US
RZA,US
Gué Pequeno,IT
La Clinique,FR
Zaytoven,US
Kekra,FR
Danger Mouse,US
Richie Rich,US
Sir Mix-a-Lot,US
TTC,FR
Blackalicious,US
Ed O.G.,US
Master P,US
Lupe Fiasco,US
Beastie Boys,US
Mac Dre,US
Damso,BE
Lino,FR
Dj Yella,US
Nas,US
Les X-Men,FR
Yung Simmie,US
Dadoo,FR
Fuzati,FR
Guru,US
Rob Quest,US
MF Doom,US
Fetty Wap,US
Alonzo,FR
Lethal Bizzle,GB
Evil Pimp,US
Snoop Dogg,US
Denzel curry,US
MC Ren,US
Young Thug,US
Hyacinthe,FR
Big Hawk,US
Fat Pat,US
Manza Abdeslam,BE
MBS,DZ
Columbine,FR
Jeanjass,BE
Akon,US
Mozzy,US
Necro,US
"Tyler, The Creator",US
Rakim,US
Tory Lanez,CA
Chris Travis,US
Gradur,FR
Bankroll Fresh,US
Biffty,FR
Keny arkana,FR
Sam's,FR
M.I.A.,GB
Dj Premier,US
113,FR
Movez'Lang,FR
Orelsan,FR
Yelawolf,US
Chamillionaire,US
Starflam,BE
André 3000,US
Geto Boys,US
Ty Dolla $ign,US
PNL,FR
Kery James,FR
Schoolboy Q,US
Missy Elliott,US
Negatif clan,BE
Busta Flex,FR
Lil Jon,US
Yung Light,GR
Bryson Tiller,US
Hugo TSR,FR
Yellow Claw,NL
Rihanna,BB
De La Soul,US
Post Malone,US
O.T. Genasis,US
Mac Tyer,FR
Shystie,GB
Kurupt,US
Black Moon,US
Soulja Slim,US
Common,US
Don Choa,FR
Freeman,FR
SCH,FR
Koopsta Knicca,US
Mobb Deep,US
Tiers Monde,FR
RBL Posse,US
Dyno,CH
Alpha Wann,FR
Ledé Markson,BE
Jorrdee,FR
Nèg' Marrons,FR
Mafia K1 Fry,FR
Masta Ace,US
Jeremih,US
Talib Kweli,US
Roll Deep,GB
Nelly,US
Bone Thugs-N-Harmony,US
KRS-One,US
Roi Heenok,CA
Juicy J,US
Morsay,FR
"Michael ""5000"" Watts",US
Zico,KR
Kalash l'Afro,FR
Jimmy Wopo,US
Admiral T,GP
Kacem Wapalek,FR
Young M.A,US
Pato Pooh,SE
Dom Kennedy,US
Ma$e,US
Waka Flocka Flame,US
Puff Daddy,US
LL Cool J,US
Three 6 Mafia,US
